areaCode,areaName,areaType,date,cumCasesByPublishDate,newCasesByPublishDate
E92000001,England,nation,2021-10-17,7187635,38543
E92000001,England,nation,2021-10-16,7149533,39624
E92000001,England,nation,2021-10-15,7110513,37691
E92000001,England,nation,2021-10-14,7073467,38488
E92000001,England,nation,2021-10-13,7035489,36458
E92000001,England,nation,2021-10-12,7000356,33287
E92000001,England,nation,2021-10-11,6967915,32349
E92000001,England,nation,2021-10-10,6936327,31096
E92000001,England,nation,2021-10-09,6906211,31259
E92000001,England,nation,2021-10-08,6876192,32157
E92000001,England,nation,2021-10-07,6845186,33305
E92000001,England,nation,2021-10-06,6812848,33450
E92000001,England,nation,2021-10-05,6780567,28846
E92000001,England,nation,2021-10-04,6752536,28251
E92000001,England,nation,2021-10-03,6725105,25176
E92000001,England,nation,2021-10-02,6700702,26794
E92000001,England,nation,2021-10-01,6674820,28836
E92000001,England,nation,2021-09-30,6646963,29826
E92000001,England,nation,2021-09-29,6617892,29036
E92000001,England,nation,2021-09-28,6590514,28808
E92000001,England,nation,2021-09-27,6561706,29329
E92000001,England,nation,2021-09-26,6532847,25538
E92000001,England,nation,2021-09-25,6507849,28087
E92000001,England,nation,2021-09-24,6481363,28199
E92000001,England,nation,2021-09-23,6453164,29045
E92000001,England,nation,2021-09-22,6425056,27317
E92000001,England,nation,2021-09-21,6398633,24973
E92000001,England,nation,2021-09-20,6374123,26905
E92000001,England,nation,2021-09-19,6347616,22173
E92000001,England,nation,2021-09-18,6326046,22956
E92000001,England,nation,2021-09-17,6303792,23265
E92000001,England,nation,2021-09-16,6281236,22949
E92000001,England,nation,2021-09-15,6258872,22078
E92000001,England,nation,2021-09-14,6237505,19739
E92000001,England,nation,2021-09-13,6218198,21077
E92000001,England,nation,2021-09-12,6197654,19913
E92000001,England,nation,2021-09-11,6178293,23825
E92000001,England,nation,2021-09-10,6155149,26653
E92000001,England,nation,2021-09-09,6129372,27049
E92000001,England,nation,2021-09-08,6102850,29286
E92000001,England,nation,2021-09-07,6074040,27545
E92000001,England,nation,2021-09-06,6046799,27202
E92000001,England,nation,2021-09-05,6019976,27022
E92000001,England,nation,2021-09-04,5993444,29614
E92000001,England,nation,2021-09-03,5964760,31726
E92000001,England,nation,2021-09-02,5933034,28686
E92000001,England,nation,2021-09-01,5904664,24723
E92000001,England,nation,2021-08-31,5880134,20967
E92000001,England,nation,2021-08-30,5859405,21324
E92000001,England,nation,2021-08-29,5838323,22501
E92000001,England,nation,2021-08-28,5816071,25118
E92000001,England,nation,2021-08-27,5791272,27545
E92000001,England,nation,2021-08-26,5764066,29417
E92000001,England,nation,2021-08-25,5734967,27350
E92000001,England,nation,2021-08-24,5707906,23474
E92000001,England,nation,2021-08-23,5684645,24158
E92000001,England,nation,2021-08-22,5660725,25952
E92000001,England,nation,2021-08-21,5635046,26982
E92000001,England,nation,2021-08-20,5608339,29576
E92000001,England,nation,2021-08-19,5579087,29762
E92000001,England,nation,2021-08-18,5549621,28648
E92000001,England,nation,2021-08-17,5521231,22712
E92000001,England,nation,2021-08-16,5498742,23171
E92000001,England,nation,2021-08-15,5475833,22859
E92000001,England,nation,2021-08-14,5453294,26700
E92000001,England,nation,2021-08-13,5426971,28679
E92000001,England,nation,2021-08-12,5398629,28093
E92000001,England,nation,2021-08-11,5370904,26647
E92000001,England,nation,2021-08-10,5344609,20630
E92000001,England,nation,2021-08-09,5324191,21915
E92000001,England,nation,2021-08-08,5302555,24196
E92000001,England,nation,2021-08-07,5278675,25877
E92000001,England,nation,2021-08-06,5253181,28321
E92000001,England,nation,2021-08-05,5225224,26512
E92000001,England,nation,2021-08-04,5199102,26393
E92000001,England,nation,2021-08-03,5173082,19012
E92000001,England,nation,2021-08-02,5154292,19175
E92000001,England,nation,2021-08-01,5135378,21645
E92000001,England,nation,2021-07-31,5114064,23949
E92000001,England,nation,2021-07-30,5090505,26241
E92000001,England,nation,2021-07-29,5064671,27524
E92000001,England,nation,2021-07-28,5037630,24367
E92000001,England,nation,2021-07-27,5013664,20290
E92000001,England,nation,2021-07-26,4993657,22181
E92000001,England,nation,2021-07-25,4972040,25434
E92000001,England,nation,2021-07-24,4947127,28968
E92000001,England,nation,2021-07-23,4918669,32792
E92000001,England,nation,2021-07-22,4886612,35939
E92000001,England,nation,2021-07-21,4851264,39504
E92000001,England,nation,2021-07-20,4812460,43261
E92000001,England,nation,2021-07-19,4769632,34657
E92000001,England,nation,2021-07-18,4735387,44777
E92000001,England,nation,2021-07-17,4691172,50955
E92000001,England,nation,2021-07-16,4640922,47360
E92000001,England,nation,2021-07-15,4594159,44523
E92000001,England,nation,2021-07-14,4550298,37895
E92000001,England,nation,2021-07-13,4512957,32883
E92000001,England,nation,2021-07-12,4480518,30619
E92000001,England,nation,2021-07-11,4450372,28421
E92000001,England,nation,2021-07-10,4422370,29732
E92000001,England,nation,2021-07-09,4393205,31231
E92000001,England,nation,2021-07-08,4362481,28421
E92000001,England,nation,2021-07-07,4334634,27516
E92000001,England,nation,2021-07-06,4307618,25295
E92000001,England,nation,2021-07-05,4282762,23286
E92000001,England,nation,2021-07-04,4259710,20454
E92000001,England,nation,2021-07-03,4239686,21317
E92000001,England,nation,2021-07-02,4218807,22393
E92000001,England,nation,2021-07-01,4196833,22948
E92000001,England,nation,2021-06-30,4174318,21293
E92000001,England,nation,2021-06-29,4153487,16802
E92000001,England,nation,2021-06-28,4136940,18702
E92000001,England,nation,2021-06-27,4118462,11560
E92000001,England,nation,2021-06-26,4107155,15136
E92000001,England,nation,2021-06-25,4092346,13498
E92000001,England,nation,2021-06-24,4079362,13068
E92000001,England,nation,2021-06-23,4066294,12765
E92000001,England,nation,2021-06-22,4053782,9096
E92000001,England,nation,2021-06-21,4044830,8766
E92000001,England,nation,2021-06-20,4036230,7778
E92000001,England,nation,2021-06-19,4028664,8954
E92000001,England,nation,2021-06-18,4019956,9185
E92000001,England,nation,2021-06-17,4010977,9371
E92000001,England,nation,2021-06-16,4001803,7642
E92000001,England,nation,2021-06-15,3994408,6486
E92000001,England,nation,2021-06-14,3988008,6647
E92000001,England,nation,2021-06-13,3981497,6269
E92000001,England,nation,2021-06-12,3975399,6601
E92000001,England,nation,2021-06-11,3968986,6782
E92000001,England,nation,2021-06-10,3962371,6436
E92000001,England,nation,2021-06-09,3956096,6201
E92000001,England,nation,2021-06-08,3950123,5250
E92000001,England,nation,2021-06-07,3944955,4913
E92000001,England,nation,2021-06-06,3940141,4405
E92000001,England,nation,2021-06-05,3935854,4810
E92000001,England,nation,2021-06-04,3931158,5102
E92000001,England,nation,2021-06-03,3926154,4310
E92000001,England,nation,2021-06-02,3921939,3486
E92000001,England,nation,2021-06-01,3918522,2539
E92000001,England,nation,2021-05-31,3916049,2854
E92000001,England,nation,2021-05-30,3913295,2621
