date,cumDeath
2022-04-21,13672
2022-04-22,13676
2022-04-23,13676
2022-04-24,13676
2022-04-25,13684
2022-04-26,13690
2022-04-27,13701
2022-04-28,13710
2022-04-29,13712
2022-04-30,13712
2022-05-01,13712
2022-05-02,13714
2022-05-03,13718
2022-05-04,13719
2022-05-05,13725
2022-05-06,13726
2022-05-07,13726
2022-05-08,13726
2022-05-09,13729
2022-05-10,13773
2022-05-11,13778
2022-05-12,13779
2022-05-13,13781
2022-05-14,13781
2022-05-15,13781
2022-05-16,13784
2022-05-17,13790
2022-05-18,13791
2022-05-19,13791
2022-05-20,13791
2022-05-21,13791
2022-05-22,13791
2022-05-23,13790
2022-05-24,13791
2022-05-25,13794
2022-05-26,13794
2022-05-27,13794
2022-05-28,13794
2022-05-29,13794
2022-05-30,13799
2022-05-31,13800
2022-06-01,13801
2022-06-02,13804
2022-06-03,13804
2022-06-04,13804
2022-06-05,13804
2022-06-06,13804
2022-06-07,13809
2022-06-08,13813
2022-06-09,13814
2022-06-10,13814
2022-06-11,13814
2022-06-12,13814
2022-06-13,13815
2022-06-14,13817
2022-06-15,13817
2022-06-16,13817
2022-06-17,13817
2022-06-18,13817
2022-06-19,13817
2022-06-20,13820
2022-06-21,13820
2022-06-22,13822
2022-06-23,13822
2022-06-24,13822
2022-06-25,13822
2022-06-26,13822
2022-06-27,13824
2022-06-28,13824
2022-06-29,13828
2022-06-30,13831
2022-07-01,13832
2022-07-02,13832
2022-07-03,13832
2022-07-04,13833
2022-07-05,13835
2022-07-06,13841
2022-07-07,13842
2022-07-08,13842
2022-07-09,13842
2022-07-10,13842
2022-07-11,13844
2022-07-12,13848
2022-07-13,13857
2022-07-14,13857
2022-07-15,13857
2022-07-16,13857
2022-07-17,13857
2022-07-18,13860
2022-07-19,13862
2022-07-20,13873
2022-07-21,13874
2022-07-22,13876
2022-07-23,13876
2022-07-24,13876
2022-07-25,13877
2022-07-26,13882
2022-07-27,13891
2022-07-28,13891
2022-07-29,13891
2022-07-30,13891
2022-07-31,13891
2022-08-01,13891
2022-08-02,13900
2022-08-03,13917
2022-08-04,13918
2022-08-05,13918
2022-08-06,13918
2022-08-07,13918
2022-08-08,13920
2022-08-09,13925
2022-08-10,13938
2022-08-11,13938
2022-08-12,13939
2022-08-13,13939
2022-08-14,13939
2022-08-15,13939
2022-08-16,13946
2022-08-17,13951
2022-08-18,13951
2022-08-19,13953
2022-08-20,13953
2022-08-21,13953
2022-08-22,13955
2022-08-23,13958
2022-08-24,13966
2022-08-25,13966
2022-08-26,13966
2022-08-27,13966
2022-08-28,13966
2022-08-29,13967
2022-08-30,13969
2022-08-31,13974
2022-09-01,13974
2022-09-02,13974
2022-09-03,13975
2022-09-04,13975
2022-09-05,13975
2022-09-06,13976
2022-09-07,13986
2022-09-08,13986
2022-09-09,13987
2022-09-10,13987
2022-09-11,13987
2022-09-12,13988
2022-09-13,13992
2022-09-14,13992
2022-09-15,13992
2022-09-16,13992
2022-09-17,13992
2022-09-18,13992
2022-09-19,13995
2022-09-20,13996
2022-09-21,13998
2022-09-22,13998
2022-09-23,13998
2022-09-24,13998
2022-09-25,13998
2022-09-26,14001
2022-09-27,14001
2022-09-28,14008
2022-09-29,14008
2022-09-30,14009
2022-10-01,14009
2022-10-02,14009
2022-10-03,14009
2022-10-04,14010
2022-10-05,14017
2022-10-06,14017
2022-10-07,14017
2022-10-08,14017
2022-10-09,14017
2022-10-10,14019
2022-10-11,14020
2022-10-12,14021
2022-10-13,14022
2022-10-14,14022
2022-10-15,14022
2022-10-16,14022
2022-10-17,14025
2022-10-18,14031
2022-10-19,14041
2022-10-20,14041
2022-10-21,14042
2022-10-22,14042
2022-10-23,14042
2022-10-24,14046
2022-10-25,14055
2022-10-26,14061
2022-10-27,14062
2022-10-28,14062
2022-10-29,14062
2022-10-30,14062
2022-10-31,14065
2022-11-01,14070
2022-11-02,14080
2022-11-03,14081
2022-11-04,14081
2022-11-05,14081
2022-11-06,14081
2022-11-07,14085
2022-11-08,14089
2022-11-09,14097
2022-11-10,14097
2022-11-11,14097
2022-11-12,14097
2022-11-13,14097
2022-11-14,14098
2022-11-15,14101
2022-11-16,14110
2022-11-17,14110
2022-11-18,14110
2022-11-19,14110
2022-11-20,14110
2022-11-21,14110
2022-11-22,14114
2022-11-23,14116
2022-11-24,14116
2022-11-25,14116
2022-11-26,14116
2022-11-27,14116
2022-11-28,14124
2022-11-29,14130
2022-11-30,14137
2022-12-01,14137
2022-12-02,14137
2022-12-03,14137
2022-12-04,14137
2022-12-05,14138
2022-12-06,14142
2022-12-07,14147
2022-12-08,14147
2022-12-09,14147
2022-12-10,14147
2022-12-11,14147
2022-12-12,14148
2022-12-13,14153
2022-12-14,14156
2022-12-15,14157
2022-12-16,14157
2022-12-17,14157
2022-12-18,14157
2022-12-19,14158
2022-12-20,14160
2022-12-21,14166
2022-12-22,14166
2022-12-23,14166
2022-12-24,14166
2022-12-25,14166
2022-12-26,14166
2022-12-27,14166
2022-12-28,14173
2022-12-29,14173
2022-12-30,14173
2022-12-31,14173
2023-01-01,14174
2023-01-02,14174
2023-01-03,14182
2023-01-04,14190
2023-01-05,14190
2023-01-06,14190
2023-01-07,14190
2023-01-08,14190
2023-01-09,14193
2023-01-10,14193
2023-01-11,14201
2023-01-12,14201
2023-01-13,14234
2023-01-14,14234
2023-01-15,14234
2023-01-16,14234
2023-01-17,14237
2023-01-18,14243
2023-01-19,14243
2023-01-20,14243
2023-01-21,14243
2023-01-22,14243
2023-01-23,14243
2023-01-24,14243
2023-01-25,14244
2023-01-26,14244
2023-01-27,14244
2023-01-28,14244
2023-01-29,14244
2023-01-30,14244
2023-01-31,14244
2023-02-01,14244
2023-02-02,14244
